"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"MU156","Italy","Toner e cartucce","HP","Ink Jet HP N.337 (C9364EE)","Ink Jet HP N.337 (C9364EE)",1,"14.89",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU157","Italy","Toner e cartucce","HP","Cartuccia HP 6625A (DJ840C)","Cartuccia HP 6625A (DJ840C)",1,"21.85",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU158","Italy","Toner e cartucce","HP","Cartuccia HP N.15","Cartuccia HP N.15",1,"20.22",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU159","Italy","Toner e cartucce","HP","Toner HP 2613A","Toner HP 2613A",1,"53.14",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU160","Italy","Toner e cartucce","HP","Cartuccia HP N.350 Nero","Cartuccia HP N.350 Nero",1,"22.07",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU161","Italy","Toner e cartucce","HP","Cartuccia HP N.351 Color","Cartuccia HP N.351 Color",1,"13.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU162","Italy","Toner e cartucce","HP","Cartuccia Hp C9385S black","Cartuccia Hp C9385S black",1,"15.23",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU163","Italy","Toner e cartucce","HP","Cartuccia HP C9386A cyan","Cartuccia HP C9386A cyan",1,"11.42",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU164","Italy","Toner e cartucce","HP","Cartuccia HP C9387A magenta","Cartuccia HP C9387A magenta",1,"11.42",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU165","Italy","Toner e cartucce","HP","Cartuccia HP C9388A yellow","Cartuccia HP C9388A yellow",1,"11.42",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU166","Italy","Toner e cartucce","HP","Toner HP Q6000A","Toner HP Q6000A",1,"60.45",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU167","Italy","Toner e cartucce","HP","Toner HP Q6001A","Toner HP Q6001A",1,"58.81",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU168","Italy","Toner e cartucce","HP","Toner HP Q6002A","Toner HP Q6002A",1,"58.81",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU169","Italy","Toner e cartucce","HP","Toner HP Q6003A","Toner HP Q6003A",1,"58.81",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU170","Italy","Toner e cartucce","HP","Cartuccia HP C4844ae Nero","Cartuccia HP C4844ae Nero",1,"24.44",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU171","Italy","Toner e cartucce","HP","Cartuccia HP C4838ae Giallo","Cartuccia HP C4838ae Giallo",1,"24.65",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU172","Italy","Toner e cartucce","HP","Cartuccia HP C4837ae Magenta","Cartuccia HP C4837ae Magenta",1,"24.65",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU173","Italy","Toner e cartucce","HP","Cartuccia HP C4836ae Ciano","Cartuccia HP C4836ae Ciano",1,"24.65",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU174","Italy","Toner e cartucce","HP","Toner HP 7551X","Toner HP 7551X",1,"155.71",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU175","Italy","Toner e cartucce","HP","Toner HP CB436A","Toner HP CB436A",1,"57.36",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU176","Italy","Toner e cartucce","HP","Cartuccia HP 342","Cartuccia HP 342",1,"13.69",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU177","Italy","Toner e cartucce","HP","Cartuccia HP 5016A n.84","Cartuccia HP 5016A n.84",1,"29.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU178","Italy","Toner e cartucce","HP","Toner HP 5949A","Toner HP 5949A",1,"43.12",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU179","Italy","Toner e cartucce","HP","Ink Jet HP N.44 (51644 Y Giallo)","Ink Jet HP N.44 (51644 Y Giallo)",1,"26.39",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU180","Italy","Toner e cartucce","HP","Toner HP C8061X","Toner HP C8061X",1,"57.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU181","Italy","Toner e cartucce","HP","Toner HP CE505X","Toner HP CE505X",1,"104.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU182","Italy","Toner e cartucce","HP","Cartuccia HP n.363 ciano (C8771EE)","Cartuccia HP n.363 ciano (C8771EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU183","Italy","Toner e cartucce","HP","Cartuccia HP n.363 magenta (C8772EE)","Cartuccia HP n.363 magenta (C8772EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU184","Italy","Toner e cartucce","HP","Cartuccia HP N.20 (C6614DE)","Cartuccia HP N.20 (C6614DE)",1,"26.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU185","Italy","Toner e cartucce","HP","Cartuccia HP 300XL nero","Cartuccia HP 300XL nero",1,"19.42",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU186","Italy","Toner e cartucce","HP","Cartuccia HP 300XL colore","Cartuccia HP 300XL colore",1,"22.83",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU187","Italy","Toner e cartucce","HP","Ink Jet HP n.27 nero","Ink Jet HP n.27 nero",1,"13.63",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU188","Italy","Toner e cartucce","HP","Ink Jet HP n.28 color","Ink Jet HP n.28 color",1,"16.55",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU189","Italy","Toner e cartucce","HP","Ink Jet HP N901 CC656AE colore","Ink Jet HP N901 CC656AE colore",1,"13.75",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU190","Italy","Toner e cartucce","HP","Ink Jet HP N901XL CC654AE nero","Ink Jet HP N901XL CC654AE nero",1,"19.31",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU191","Italy","Toner e cartucce","HP","Toner HP C4127X","Toner HP C4127X",1,"89.59",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU192","Italy","Toner e cartucce","HP","Toner HP C7115X","Toner HP C7115X",1,"53.39",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU193","Italy","Toner e cartucce","HP","Toner HP C3903A","Toner HP C3903A",1,"63.59",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU194","Italy","Toner e cartucce","HP","Toner HP C3906A","Toner HP C3906A",1,"45.87",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU195","Italy","Toner e cartucce","HP","Toner HP C4092A","Toner HP C4092A",1,"43.13",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU196","Italy","Toner e cartucce","HP","Toner HP C4096A","Toner HP C4096A",1,"60.54",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU197","Italy","Toner e cartucce","HP","Toner HP 92298X","Toner HP 92298X",1,"77.90",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU198","Italy","Toner e cartucce","HP","Toner HP Q2612A","Toner HP Q2612A",1,"50.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU199","Italy","Toner e cartucce","HP","Toner HP Q2610A","Toner HP Q2610A",1,"84.93",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU200","Italy","Toner e cartucce","HP","Toner HP 92274A","Toner HP 92274A",1,"71.67",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU201","Italy","Toner e cartucce","HP","Toner HP C6658A","Toner HP C6658A",1,"17.70",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU202","Italy","Toner e cartucce","HP","Cartuccia HP n.45 (51645A)","Cartuccia HP n.45 (51645A)",1,"22.92",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU203","Italy","Toner e cartucce","HP","Cartuccia Hp 51649Ae N.49","Cartuccia Hp 51649Ae N.49",1,"22.35",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU204","Italy","Toner e cartucce","HP","Toner HP 5949X","Toner HP 5949X",2,"177.37",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU205","Italy","Toner e cartucce","HP","Toner HP Q5949X","Toner HP C5949X",1,"93.24",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU206","Italy","Toner e cartucce","HP","Toner HP C8765A","Toner HP C8765A",1,"12.71",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU207","Italy","Toner e cartucce","HP","Toner HP C8766A","Toner HP C8766A",1,"15.80",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU208","Italy","Toner e cartucce","HP","Toner HP C8767A","Toner HP C8767A",1,"19.25",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU209","Italy","Toner e cartucce","HP","Toner HP C9363A","Toner HP C9363A",1,"22.75",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU210","Italy","Toner e cartucce","HP","Cartuccia HP N.338","Cartuccia HP N.338",1,"13.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU211","Italy","Toner e cartucce","HP","Cartuccia HP N.339","Cartuccia HP N.339",1,"19.25",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU212","Italy","Toner e cartucce","HP","Cartuccia HP N.343","Cartuccia HP N.343",1,"16.36",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU213","Italy","Toner e cartucce","HP","Cartuccia HP N.344","Cartuccia HP N.344",1,"22.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU214","Italy","Toner e cartucce","HP","Cartuccia HP N.348","Cartuccia HP N.348",1,"17.72",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU215","Italy","Toner e cartucce","HP","Cartuccia HP n.40 (51640A)","Cartuccia HP n.40 (51640A)",1,"21.19",FALSO,VERO,"SMR","N010",FALSO,VERO
"MU216","Italy","Toner e cartucce","HP","Cartuccia HP N.78 (C6578DE)","Cartuccia HP N.78 ( C6578DE)",1,"24.75",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU217","Italy","Toner e cartucce","HP","Cartuccia HP nero N. 21","Cartuccia HP nero N. 21",1,"9.76",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU218","Italy","Toner e cartucce","HP","Cartuccia HP colore N.22","Cartuccia HP colore N.22",1,"11.62",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU219","Italy","Toner e cartucce","HP","Cartuccia HP n.23 C1823D","Cartuccia HP n.23 C1823D",1,"23.00",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU220","Italy","Toner e cartucce","Compatibili","Cartuccia Ink Jet N.56 C6656A","Cartuccia Ink Jet N.56 C6656A",1,"15.20",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU221","Italy","Toner e cartucce","Compatibili","Cartuccia Ink Jet N.57 C6657A","Cartuccia Ink Jet N.57 C6657A",1,"24.98",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU222","Italy","Toner e cartucce","Compatibili","Kit 2 inkjet mutlipack SA308AE","Kit 2 inkjet mutlipack SA308AE",1,"44.15",FALSO,FALSO,"SMR","N012",FALSO,VERO
